GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,it.fitdiary.backend.gestionestimaprogressi.service,GestioneStimaProgressiServiceImpl,0,17,0,0,0,4,0,3,0,3
backend,it.fitdiary.backend.gestionereport.controller,GestioneReportController,98,263,9,15,27,58,7,11,1,5
backend,it.fitdiary.backend.utility,FileUtility,0,29,0,4,0,8,0,3,0,1
backend,it.fitdiary.backend.utility,ResponseHandler,7,119,2,16,2,30,2,10,0,3
backend,it.fitdiary.backend.gestionestimaprogressi.adapter,StimaProgressiAdapterImpl,63,23,3,1,12,8,2,2,0,2
backend,it.fitdiary.backend.gestionereport.service,GestioneReportServiceImpl,6,93,0,8,2,20,1,9,1,5
backend,it.fitdiary.backend.gestioneprotocollo.adapter,SchedaAlimentareAdapterImpl,0,104,0,6,0,22,0,5,0,2
backend,it.fitdiary.backend.gestioneprotocollo.adapter,SchedaAllenamentoAdapterImpl,0,112,0,6,0,23,0,5,0,2
backend,it.fitdiary.backend.gestioneprotocollo.controller,GestioneProtocolloController,98,372,19,41,34,104,18,22,1,9
backend,it.fitdiary.backend,BackendApplication,5,7,0,0,2,2,1,2,1,2
backend,it.fitdiary.backend.gestioneutenza.controller,GestioneUtenzaController,70,335,1,7,20,88,3,15,2,12
backend,it.fitdiary.backend.utility.service,EmailServiceImpl,26,132,0,0,7,30,1,5,1,5
backend,it.fitdiary.backend.utility.service,FitDiaryUserDetails,6,93,3,5,1,34,4,16,1,15
backend,it.fitdiary.backend.gestioneabbonamento.controller,GestioneAbbonamentoController,69,7,4,0,24,2,3,2,1,2
backend,it.fitdiary.backend.gestioneprotocollo.service,GestioneProtocolloServiceImpl,0,310,0,32,0,84,0,24,0,8
backend,it.fitdiary.backend.gestioneutenza.service,GestioneUtenzaServiceImpl,30,421,4,62,7,91,5,39,1,10
